Tiempo(seg),Temperatura 1,Temperatura 2,Temperatura 3,Temperatura 4,Temperatura 5,Temperatura 6,Temperatura 7,Temperatura 8,Temperatura 9,Temperatura 10
 59, 848.625237875273, 848.624155829446, 848.560240089104, 848.415817456745, 848.160821047334, 847.758967133453, 847.166955863388, 846.334568439912, 845.20708001369, 843.730464058029
 59.5, 848.598684468668, 848.597596144243, 848.533309905552, 848.388086449306, 848.131797945507, 847.728192184859, 847.13413053218, 846.299693463946, 845.170553933303, 843.693081521682
 60, 848.571980717792, 848.57088623132, 848.506236372722, 848.360227037816, 848.102670798871, 847.697346734314, 847.101274771641, 846.264829119014, 845.134072565357, 843.655762383807
 60.5, 848.545129421041, 848.544028887217, 848.479022177616, 848.332241666737, 848.073441642357, 847.666432223689, 847.06838927137, 846.229975275271, 845.097635062606, 843.618505388804
 61, 848.518133331825, 848.517026863502, 848.45166996295, 848.304132738086, 848.044112472563, 847.635450064458, 847.035474703476, 846.195131802453, 845.06124059451, 843.58130930838
 61.5, 848.490995158885, 848.489882867084, 848.424182327537, 848.275902611957, 848.014685248419, 847.604401638421, 847.002531723164, 846.160298570061, 845.024888346905, 843.544172940841
 62, 848.463717566629, 848.462599560553, 848.396561826696, 848.247553607041, 847.985161891845, 847.573288298407, 846.969560969282, 846.125475447532, 844.988577521674, 843.507095110417
 62.5, 848.436303175492, 848.435179562544, 848.368810972668, 848.219088001164, 847.955544288398, 847.542111368961, 846.93656306486, 846.0906623044, 844.952307336419, 843.470074666612
 63, 848.408754562328, 848.407625448123, 848.340932235066, 848.190508031823, 847.925834287917, 847.510872147002, 846.903538617613, 846.055859010437, 844.916077024154, 843.433110483562
 63.5, 848.38107426081, 848.379939749194, 848.312928041322, 848.161815896728, 847.896033705152, 847.479571902472, 846.870488220432, 846.021065435789, 844.879885832989, 843.396201459432
 64, 848.353264761858, 848.352124954924, 848.284800777157, 848.133013754351, 847.866144320392, 847.448211878958, 846.837412451844, 845.986281451096, 844.843733025833, 843.359346515818
 64.5, 848.325328514075, 848.324183512183, 848.256552787064, 848.104103724477, 847.836167880075, 847.416793294299, 846.804311876465, 845.951506927609, 844.807617880095, 843.322544597175
 65, 848.297267924206, 848.296117825998, 848.228186374798, 848.075087888753, 847.806106097404, 847.385317341179, 846.77118704542, 845.916741737288, 844.771539687394, 843.285794670263
 65.5, 848.269085357602, 848.267930260026, 848.19970380387, 848.045968291245, 847.775960652938, 847.353785187695, 846.738038496762, 845.881985752895, 844.735497753277, 843.249095723609
 66, 848.240783138702, 848.239623137028, 848.171107298061, 848.016746938987, 847.745733195185, 847.32219797792, 846.704866755856, 845.847238848086, 844.699491396939, 843.212446766986
 66.5, 848.212363551519, 848.21119873936, 848.142399041931, 847.98742580254, 847.715425341184, 847.290556832441, 846.671672335764, 845.812500897482, 844.663519950954, 843.175846830905
 67, 848.183828840142, 848.182659309475, 848.11358118134, 847.958006816541, 847.685038677077, 847.258862848889, 846.638455737604, 845.777771776744, 844.627582761003, 843.139294966131
 67.5, 848.155181209235, 848.154007050421, 848.084655823969, 847.928491880257, 847.654574758672, 847.227117102446, 846.605217450896, 845.743051362633, 844.59167918562, 843.102790243202
 68, 848.126422824555, 848.125244126359, 848.05562503985, 847.898882858131, 847.624035111999, 847.195320646352, 846.571957953902, 845.708339533071, 844.555808595929, 843.066331751972
 68.5, 848.097555813462, 848.096372663077, 848.026490861891, 847.869181580333, 847.59342123386, 847.163474512385, 846.538677713942, 845.673636167191, 844.5199703754, 843.02991860116
 69, 848.068582265446, 848.067394748513, 847.997255286413, 847.839389843304, 847.56273459236, 847.131579711334, 846.505377187706, 845.638941145384, 844.484163919599, 842.993549917919
 69.5, 848.039504232648, 848.038312433276, 847.967920273675, 847.809509410292, 847.531976627442, 847.099637233462, 846.47205682155, 845.604254349338, 844.448388635951, 842.957224847411
 70, 848.010323730385, 848.009127731174, 847.938487748413, 847.779542011897, 847.501148751408, 847.067648048954, 846.438717051784, 845.569575662077, 844.412643943504, 842.920942552398
 70.5, 847.981042737683, 847.979842619746, 847.908959600369, 847.749489346598, 847.470252349429, 847.035613108349, 846.405358304947, 845.53490496799, 844.376929272695, 842.884702212844
 71, 847.9516631978, 847.950459040785, 847.879337684822, 847.719353081287, 847.439288780049, 847.003533342972, 846.37198099807, 845.500242152863, 844.34124406513, 842.848503025525
 71.5, 847.922187018762, 847.920978900871, 847.84962382312, 847.689134851789, 847.408259375684, 846.971409665346, 846.338585538937, 845.4655871039, 844.305587773358, 842.812344203656
 72, 847.892616073887, 847.8914040719, 847.819819803207, 847.658836263387, 847.377165443109, 846.939242969597, 846.305172326325, 845.430939709743, 844.269959860658, 842.77622497652
 72.5, 847.862952202316, 847.861736391612, 847.789927380147, 847.628458891334, 847.346008263933, 846.907034131845, 846.271741750249, 845.396299860492, 844.234359800824, 842.740144589115
 73, 847.833197209536, 847.831977664116, 847.759948276651, 847.59800428136, 847.314789095075, 846.874784010594, 846.238294192187, 845.361667447717, 844.198787077957, 842.704102301805
 73.5, 847.80335286791, 847.802129660417, 847.729884183593, 847.567473950182, 847.283509169227, 846.842493447104, 846.204830025302, 845.327042364469, 844.163241186265, 842.668097389982
 74, 847.773420917195, 847.772194118934, 847.699736760525, 847.536869385998, 847.252169695305, 846.810163265757, 846.171349614659, 845.292424505293, 844.127721629858, 842.632129143737
 74.5, 847.743403065063, 847.742172746025, 847.669507636196, 847.506192048983, 847.220771858904, 846.777794274411, 846.137853317429, 845.257813766226, 844.092227922557, 842.59619686754
